Intrinsic,LLC_W_R,LLC_C
mve_init_dims,0,0
mve_flusher,0,0
_mve_set_load_stride,0,0
_mve_set_store_stride,0,0
_mve_set_dim_count,0,0
_mve_set_dim_length,0,0
_mve_set_mask,0,0
_mve_set_active_element,0,0
_mve_unset_active_element,0,0
_mve_set_only_element,0,0
_mve_unset_only_element,0,0
_mve_set_all_elements,0,0
_mve_unset_all_elements,0,0
_mve_shirs_b,1,0
_mve_shirs_w,1,0
_mve_shirs_dw,1,0
_mve_shirs_qw,2,0
_mve_shiru_b,1,0
_mve_shiru_w,1,0
_mve_shiru_dw,1,0
_mve_shiru_qw,2,0
_mve_shil_b,1,0
_mve_shil_w,1,0
_mve_shil_dw,1,0
_mve_shil_qw,2,0
_mve_rotir_b,1,0
_mve_rotir_w,1,0
_mve_rotir_dw,1,0
_mve_rotir_qw,2,0
_mve_rotil_b,1,0
_mve_rotil_w,1,0
_mve_rotil_dw,1,0
_mve_rotil_qw,2,0
_mve_shrrs_b,4,0
_mve_shrrs_w,5,0
_mve_shrrs_dw,6,0
_mve_shrrs_qw,14,0
_mve_shrru_b,4,0
_mve_shrru_w,5,0
_mve_shrru_dw,6,0
_mve_shrru_qw,14,0
_mve_shrl_b,4,0
_mve_shrl_w,5,0
_mve_shrl_dw,6,0
_mve_shrl_qw,14,0
_mve_set1_b,1,0
_mve_set1_w,1,0
_mve_set1_dw,1,0
_mve_set1_qw,2,0
_mve_set1_hf,1,0
_mve_set1_f,1,0
_mve_set1_df,2,0
_mve_load_b,1,0
_mve_load_w,1,0
_mve_load_dw,1,0
_mve_load_qw,2,0
_mve_load_hf,1,0
_mve_load_f,1,0
_mve_load_df,2,0
_mve_dict_b,2,0
_mve_dict_w,2,0
_mve_dict_dw,2,0
_mve_dict_qw,3,0
_mve_store_b,1,0
_mve_store_w,1,0
_mve_store_dw,1,0
_mve_store_qw,2,0
_mve_store_hf,1,0
_mve_store_f,1,0
_mve_store_df,2,0
_mve_loadr_b,1,0
_mve_loadr_w,1,0
_mve_loadr_dw,1,0
_mve_loadr_qw,2,0
_mve_loadr_hf,1,0
_mve_loadr_f,1,0
_mve_loadr_df,2,0
_mve_storer_b,1,0
_mve_storer_w,1,0
_mve_storer_dw,1,0
_mve_storer_qw,2,0
_mve_storer_hf,1,0
_mve_storer_f,1,0
_mve_storer_df,2,0
_mve_add_b,0,1
_mve_add_w,0,1
_mve_add_dw,0,1
_mve_add_qw,0,2
_mve_add_hf,0,9
_mve_add_f,0,11
_mve_add_df,0,29
_mve_sub_b,0,2
_mve_sub_w,0,2
_mve_sub_dw,0,2
_mve_sub_qw,0,4
_mve_sub_hf,0,9
_mve_sub_f,0,11
_mve_sub_df,0,29
_mve_mul_b,0,6
_mve_mul_w,0,10
_mve_mul_dw,0,18
_mve_mul_qw,0,67
_mve_mul_hf,0,6
_mve_mul_f,0,11
_mve_mul_df,0,46
_mve_mulmodp_dw,0,50
_mve_min_b,3,1
_mve_min_w,3,1
_mve_min_dw,3,1
_mve_min_qw,6,2
_mve_min_hf,3,1
_mve_min_f,3,1
_mve_min_df,6,2
_mve_max_b,3,1
_mve_max_w,3,1
_mve_max_dw,3,1
_mve_max_qw,6,2
_mve_max_hf,3,1
_mve_max_f,3,1
_mve_max_df,6,2
_mve_xor_b,0,1
_mve_xor_w,0,1
_mve_xor_dw,0,1
_mve_xor_qw,0,2
_mve_and_b,0,1
_mve_and_w,0,1
_mve_and_dw,0,1
_mve_and_qw,0,2
_mve_or_b,0,1
_mve_or_w,0,1
_mve_or_dw,0,1
_mve_or_qw,0,2
_mve_cmpeq_b,0,1
_mve_cmpeq_w,0,1
_mve_cmpeq_dw,0,1
_mve_cmpeq_qw,0,2
_mve_cmpeq_hf,0,1
_mve_cmpeq_f,0,1
_mve_cmpeq_df,0,2
_mve_cmpneq_b,0,1
_mve_cmpneq_w,0,1
_mve_cmpneq_dw,0,1
_mve_cmpneq_qw,0,2
_mve_cmpneq_hf,0,1
_mve_cmpneq_f,0,1
_mve_cmpneq_df,0,2
_mve_cmpgte_b,1,2
_mve_cmpgte_w,1,2
_mve_cmpgte_dw,1,2
_mve_cmpgte_qw,2,4
_mve_cmpgte_hf,1,2
_mve_cmpgte_f,1,2
_mve_cmpgte_df,2,4
_mve_cmpgt_b,1,1
_mve_cmpgt_w,1,1
_mve_cmpgt_dw,1,1
_mve_cmpgt_qw,2,2
_mve_cmpgt_hf,1,1
_mve_cmpgt_f,1,1
_mve_cmpgt_df,2,2
_mve_cvt_wtob,0,0
_mve_cvt_dwtow,0,0
_mve_cvt_dwtob,0,0
_mve_cvtu_btow,1,0
_mve_cvts_btow,1,0
_mve_cvtu_btodw,1,0
_mve_cvts_btodw,1,0
_mve_cvtu_wtodw,1,0
_mve_cvts_wtodw,1,0
_mve_cvtu_dwtoqw,1,0
_mve_cvts_dwtoqw,1,0
_mve_assign_b,1,0
_mve_assign_w,1,0
_mve_assign_dw,1,0
_mve_assign_qw,2,0
_mve_assign_hf,1,0
_mve_assign_f,1,0
_mve_assign_df,2,0
_mve_free_b,0,0
_mve_free_w,0,0
_mve_free_dw,0,0
_mve_free_qw,0,0
_mve_free_hf,0,0
_mve_free_f,0,0
_mve_free_df,0,0
_mve_copy_b,1,0
_mve_copy_w,1,0
_mve_copy_dw,1,0
_mve_copy_qw,2,0
_mve_copy_hf,1,0
_mve_copy_f,1,0
_mve_copy_df,2,0